driverRef,qualifying_position,past_wins,is_winner
michael_schumacher,2,0.0,0
damon_hill,4,0.0,0
alesi,3,0.0,0
barrichello,14,0.0,0
katayama,10,0.0,0
wendlinger,7,0.0,0
herbert,21,0.0,0
martini,15,0.0,0
comas,13,0.0,0
lamy,24,0.0,0
panis,19,0.0,0
brabham,26,0.0,0
senna,1,0.0,0
brundle,18,0.0,0
irvine,16,0.0,0
verstappen,9,0.0,0
bernard,20,0.0,0
blundell,12,0.0,0
fittipaldi,11,0.0,0
frentzen,5,0.0,0
hakkinen,8,0.0,0
alboreto,22,0.0,0
morbidelli,6,0.0,0
berger,17,0.0,0
beretta,23,0.0,0
gachot,25,0.0,0
michael_schumacher,2,0.0,0
berger,5,0.0,0
barrichello,8,0.0,0
fittipaldi,9,0.0,0
frentzen,11,0.0,0
comas,16,0.0,0
herbert,23,0.0,0
lamy,24,0.0,0
panis,22,0.0,0
bernard,18,0.0,0
ratzenberger,26,0.0,0
morbidelli,13,0.0,0
wendlinger,19,0.0,0
alboreto,15,0.0,0
brundle,6,0.0,0
martini,17,0.0,0
verstappen,10,0.0,0
damon_hill,3,0.0,0
suzuki,20,0.0,0
katayama,14,0.0,0
hakkinen,4,0.0,0
beretta,21,0.0,0
brabham,25,0.0,0
senna,1,0.0,0
larini,7,0.0,0
blundell,12,0.0,0
michael_schumacher,2,0.0,0
larini,6,0.0,0
hakkinen,8,0.0,0
wendlinger,10,0.0,0
katayama,9,0.0,0
damon_hill,4,0.0,0
frentzen,7,0.0,0
brundle,13,0.0,0
blundell,12,0.0,0
herbert,20,0.0,0
panis,19,0.0,0
bernard,17,0.0,0
fittipaldi,16,0.0,0
cesaris,21,0.0,0
alboreto,15,0.0,0
morbidelli,11,0.0,0
martini,14,0.0,0
brabham,24,0.0,0
gachot,25,0.0,0
beretta,23,0.0,0
berger,3,0.0,0
senna,1,0.0,0
comas,18,0.0,0
lehto,5,0.0,0
lamy,22,0.0,0
ratzenberger,26,0.0,0
barrichello,28,0.0,0
belmondo,27,0.0,0
damon_hill,2,0.0,0
michael_schumacher,1,0.0,0
blundell,11,0.0,0
alesi,6,0.0,0
martini,18,0.0,0
irvine,13,0.0,0
panis,19,0.0,0
bernard,20,0.0,0
zanardi,23,0.0,0
brabham,24,0.0,0
